frame,Hips_rx,Hips_ry,Hips_rz,Spine_rx,Spine_ry,Spine_rz,LeftUpperArm_rx,LeftUpperArm_ry,LeftUpperArm_rz,LeftLowerArm_rx,LeftLowerArm_ry,LeftLowerArm_rz,LeftHand_rx,LeftHand_ry,LeftHand_rz,RightUpperArm_rx,RightUpperArm_ry,RightUpperArm_rz,RightLowerArm_rx,RightLowerArm_ry,RightLowerArm_rz,RightHand_rx,RightHand_ry,RightHand_rz,LeftUpperLeg_rx,LeftUpperLeg_ry,LeftUpperLeg_rz,LeftLowerLeg_rx,LeftLowerLeg_ry,LeftLowerLeg_rz,LeftFootAnkle_rx,LeftFootAnkle_ry,LeftFootAnkle_rz,LeftToes_rx,LeftToes_ry,LeftToes_rz,RightUpperLeg_rx,RightUpperLeg_ry,RightUpperLeg_rz,RightLowerLeg_rx,RightLowerLeg_ry,RightLowerLeg_rz,RightFootAnkle_rx,RightFootAnkle_ry,RightFootAnkle_rz,RightToes_rx,RightToes_ry,RightToes_rz,Head_rx,Head_ry,Head_rz,LeftHandPinkyRoot_rx,LeftHandPinkyRoot_ry,LeftHandPinkyRoot_rz,LeftHandIndexRoot_rx,LeftHandIndexRoot_ry,LeftHandIndexRoot_rz,LeftHandThumbRoot_rx,LeftHandThumbRoot_ry,LeftHandThumbRoot_rz,RightHandPinkyRoot_rx,RightHandPinkyRoot_ry,RightHandPinkyRoot_rz,RightHandIndexRoot_rx,RightHandIndexRoot_ry,RightHandIndexRoot_rz,RightHandThumbRoot_rx,RightHandThumbRoot_ry,RightHandThumbRoot_rz,LeftHeel_rx,LeftHeel_ry,LeftHeel_rz,RightHeel_rx,RightHeel_ry,RightHeel_rz,LeftEye_rx,LeftEye_ry,LeftEye_rz,RightEye_rx,RightEye_ry,RightEye_rz,Nose_rx,Nose_ry,Nose_rz
65,,,,,,,155.6953481538218,0.6338310044420591,14.250486993938724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,155.75213235495235,0.6723205980149364,14.094107564574175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,155.8353682468434,0.6152672157699998,13.916067754061267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,155.9032855683235,0.561891919808564,13.819514001198145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,155.9549641041454,0.5143407946540856,13.770787704016431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,156.05878554854564,0.4690373838044595,13.634052169149896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,156.22820972569798,0.4208193077044482,13.515253101608602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,156.27086197199768,0.39122904595100094,13.501000007527441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,156.32935660192663,0.34929641389580285,13.466479432400606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,156.28036679246418,0.337807084846751,13.406773531670547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,156.26315874834256,0.5271071543279464,13.3168188664708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,156.32669858287935,0.9002707715316205,13.55045063566232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,156.158206512731,1.275291020500942,13.687587789895451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,155.67175695284192,1.3153666623032025,13.855265659198947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,155.28017190964323,1.2936535550736474,13.802589850656998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,154.52486683303562,1.0883612825189943,13.872346832336673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,153.57157733057164,0.7974002113752371,13.75388582528827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
