Hips.Xposition,Hips.Yposition,Hips.Zposition,Hips.Zrotation,Hips.Xrotation,Hips.Yrotation,Spine.Zrotation,Spine.Xrotation,Spine.Yrotation,Chest.Zrotation,Chest.Xrotation,Chest.Yrotation,Head.Zrotation,Head.Xrotation,Head.Yrotation,LeftUpperArm.Zrotation,LeftUpperArm.Xrotation,LeftUpperArm.Yrotation,LeftLowerArm.Zrotation,LeftLowerArm.Xrotation,LeftLowerArm.Yrotation,LeftHand.Zrotation,LeftHand.Xrotation,LeftHand.Yrotation,RightUpperArm.Zrotation,RightUpperArm.Xrotation,RightUpperArm.Yrotation,RightLowerArm.Zrotation,RightLowerArm.Xrotation,RightLowerArm.Yrotation,RightHand.Zrotation,RightHand.Xrotation,RightHand.Yrotation,LeftUpperLeg.Zrotation,LeftUpperLeg.Xrotation,LeftUpperLeg.Yrotation,LeftLowerLeg.Zrotation,LeftLowerLeg.Xrotation,LeftLowerLeg.Yrotation,LeftFootAnkle.Zrotation,LeftFootAnkle.Xrotation,LeftFootAnkle.Yrotation,RightUpperLeg.Zrotation,RightUpperLeg.Xrotation,RightUpperLeg.Yrotation,RightLowerLeg.Zrotation,RightLowerLeg.Xrotation,RightLowerLeg.Yrotation,RightFootAnkle.Zrotation,RightFootAnkle.Xrotation,RightFootAnkle.Yrotation
-0.102,-0.230,0.014,-5.749,1.473,15.788,-4.164,1.835,-12.772,-3.638,2.760,-12.886,17.709,47.733,14.047,-22.710,-64.619,56.361,78.232,-67.580,79.099,-127.798,22.457,148.466,159.220,78.128,126.753,47.697,-72.332,49.072,-92.383,-27.630,-29.025,-118.015,-68.119,-32.738,-142.945,-30.884,180.000,-128.734,35.346,180.000,151.772,-84.050,-131.405,-151.160,-23.571,180.000,-101.374,-6.279,180.000
-0.102,-0.230,0.015,-5.741,1.459,15.805,-4.025,1.764,-12.844,-3.517,2.659,-12.949,16.626,47.243,15.873,-24.334,-63.343,55.803,78.982,-67.530,79.800,-127.205,21.100,149.002,174.906,79.273,110.920,37.234,-70.401,38.894,-92.227,-25.909,-28.071,-119.202,-68.475,-33.900,-143.105,-31.479,180.000,-130.506,36.791,180.000,137.495,-82.093,-145.583,-151.802,-24.240,180.000,-101.095,-0.199,180.000
-0.100,-0.231,0.013,-5.881,1.146,15.342,-4.025,1.697,-13.075,-3.522,2.604,-13.175,16.490,47.490,17.023,-37.081,-57.699,45.979,98.151,-67.404,97.532,-126.259,19.794,148.327,-162.498,78.585,87.869,29.704,-68.415,31.529,-91.043,-25.872,-25.586,-120.329,-69.131,-34.971,-143.437,-36.561,180.000,-128.089,35.018,180.000,133.804,-83.211,-149.004,-152.565,-25.578,180.000,-102.421,-5.845,180.000
-0.098,-0.236,0.009,-6.015,0.583,15.244,-3.876,1.610,-13.502,-3.381,2.505,-13.593,19.739,49.143,13.912,-40.467,-55.710,44.465,102.639,-66.045,101.581,-127.307,19.586,148.427,-92.899,45.954,21.828,4.992,-29.097,10.183,-83.684,-19.869,-26.869,-119.582,-69.012,-34.277,-142.922,-38.529,180.000,-129.017,35.491,180.000,125.418,-83.287,-157.842,-153.132,-25.783,180.000,-104.232,-6.042,180.000
-0.100,-0.236,0.005,-5.519,-1.199,15.494,-3.633,1.262,-13.092,-3.246,2.074,-13.154,23.298,49.021,10.055,-37.477,-56.455,42.772,114.221,-53.043,109.772,-129.059,-1.065,158.402,164.180,74.306,116.960,36.958,-74.248,38.017,-94.849,-13.918,-26.733,-115.314,-69.672,-29.753,-142.359,-37.075,180.000,-131.996,38.297,180.000,117.318,-81.308,-166.180,-153.450,-26.841,180.000,-103.885,-2.846,180.000
-0.101,-0.236,0.006,-5.585,-0.971,15.561,-3.376,1.120,-13.362,-3.021,1.885,-13.411,22.901,49.076,10.147,-25.493,-63.896,49.472,104.419,-48.203,100.850,-129.902,-3.567,162.328,-176.264,76.904,97.560,27.829,-70.689,29.221,-96.139,-8.113,-27.743,-115.536,-69.276,-30.062,-141.397,-40.037,180.000,-133.839,40.124,180.000,121.365,-80.664,-161.998,-153.676,-25.424,180.000,-105.424,-0.478,180.000
-0.103,-0.237,-0.006,-5.349,-2.603,14.983,-3.895,1.121,-14.394,-3.487,2.072,-14.446,24.119,49.659,9.426,-33.755,-60.766,43.478,110.640,-47.373,105.491,-130.993,-2.099,162.619,-86.722,26.389,17.195,1.442,-6.652,12.264,-88.353,-0.768,-28.399,-112.356,-70.432,-26.940,-142.146,-45.723,180.000,-134.542,41.147,180.000,111.788,-78.173,-172.547,-152.951,-27.411,180.000,-106.498,-0.314,180.000
-0.108,-0.237,-0.011,-4.977,-4.505,14.341,-4.378,1.125,-14.316,-3.957,2.194,-14.370,24.804,49.449,9.150,-33.034,-62.003,43.671,109.494,-44.747,103.993,-133.292,-1.517,164.000,-87.531,31.645,17.883,2.579,-12.229,12.006,-90.599,-1.543,-26.919,-109.189,-71.408,-23.405,-142.087,-50.274,180.000,-134.008,41.586,180.000,104.158,-78.580,179.730,-152.518,-26.080,180.000,-106.883,-0.163,180.000
-0.109,-0.237,-0.010,-5.396,-4.064,13.537,-4.132,1.111,-13.718,-3.744,2.079,-13.771,24.478,50.007,9.815,-36.063,-62.048,40.650,114.204,-41.938,106.721,-135.539,-4.164,165.870,-88.054,32.670,17.873,2.628,-12.910,11.610,-89.637,-1.841,-27.096,-109.505,-71.345,-23.964,-142.471,-50.928,180.000,-133.470,40.989,180.000,106.362,-77.161,-178.400,-152.425,-26.089,180.000,-108.381,-1.174,180.000
-0.103,-0.236,-0.004,-5.662,-3.843,13.032,-4.149,1.125,-13.284,-3.773,2.069,-13.339,25.221,49.679,9.264,-35.056,-64.195,41.681,112.952,-40.735,105.448,-139.837,-4.071,168.384,-89.938,41.091,19.227,3.284,-21.410,8.933,-88.975,-4.852,-25.027,-109.535,-71.450,-24.212,-142.886,-51.486,180.000,-134.096,42.386,180.000,107.102,-76.441,-177.793,-152.208,-25.793,180.000,-108.195,-2.734,180.000
