Hips.Xposition,Hips.Yposition,Hips.Zposition,Hips.Zrotation,Hips.Xrotation,Hips.Yrotation,Spine.Zrotation,Spine.Xrotation,Spine.Yrotation,Chest.Zrotation,Chest.Xrotation,Chest.Yrotation,Head.Zrotation,Head.Xrotation,Head.Yrotation,LeftUpperArm.Zrotation,LeftUpperArm.Xrotation,LeftUpperArm.Yrotation,LeftLowerArm.Zrotation,LeftLowerArm.Xrotation,LeftLowerArm.Yrotation,LeftHand.Zrotation,LeftHand.Xrotation,LeftHand.Yrotation,RightUpperArm.Zrotation,RightUpperArm.Xrotation,RightUpperArm.Yrotation,RightLowerArm.Zrotation,RightLowerArm.Xrotation,RightLowerArm.Yrotation,RightHand.Zrotation,RightHand.Xrotation,RightHand.Yrotation,LeftUpperLeg.Zrotation,LeftUpperLeg.Xrotation,LeftUpperLeg.Yrotation,LeftLowerLeg.Zrotation,LeftLowerLeg.Xrotation,LeftLowerLeg.Yrotation,LeftFootAnkle.Zrotation,LeftFootAnkle.Xrotation,LeftFootAnkle.Yrotation,RightUpperLeg.Zrotation,RightUpperLeg.Xrotation,RightUpperLeg.Yrotation,RightLowerLeg.Zrotation,RightLowerLeg.Xrotation,RightLowerLeg.Yrotation,RightFootAnkle.Zrotation,RightFootAnkle.Xrotation,RightFootAnkle.Yrotation
-0.117,-0.186,0.082,-1.000,6.483,18.938,-3.086,2.640,-13.680,-2.349,3.356,-13.826,8.992,35.789,20.214,89.467,-71.055,146.376,20.861,-23.202,44.047,-131.379,43.283,140.231,42.003,54.637,-123.020,-112.519,19.304,97.804,-49.117,34.211,151.330,-133.037,-59.912,-41.714,-145.915,-43.271,180.000,-128.803,38.287,180.000,-150.156,-77.754,-62.491,-148.101,-8.709,180.000,-103.254,19.084,180.000
-0.113,-0.192,0.104,-3.698,12.695,19.335,-1.660,2.477,-13.570,-1.021,2.824,-13.653,11.955,29.803,17.715,128.522,-68.699,-172.348,-2.659,3.387,38.171,-79.960,54.687,74.776,50.599,56.922,-133.288,62.689,-43.151,70.549,-109.519,-34.259,-52.207,-140.227,-58.458,-51.239,-143.631,-47.176,180.000,-131.036,40.002,180.000,-169.098,-73.726,-81.644,-149.376,-10.816,180.000,-101.258,22.682,180.000
-0.110,-0.191,0.116,-5.213,16.418,19.711,-0.580,2.170,-13.300,-0.062,2.252,-13.332,12.893,25.434,17.116,139.640,-67.899,-161.723,-28.242,33.757,44.029,-40.764,30.721,23.128,50.016,55.456,-130.923,86.663,-63.048,87.025,-79.179,-42.435,-31.056,-141.913,-57.153,-54.158,-145.719,-42.908,180.000,-128.401,38.206,180.000,-175.712,-71.474,-89.214,-151.547,-12.288,180.000,-101.564,23.565,180.000
-0.109,-0.201,0.099,-4.841,15.628,19.235,-0.379,1.993,-13.738,0.107,2.030,-13.760,12.296,24.835,17.516,144.684,-75.966,-162.161,-30.936,41.395,42.189,-35.427,18.641,8.758,62.007,49.318,-139.165,26.177,-55.926,30.687,-112.983,-57.326,-89.852,-138.569,-57.670,-50.538,-148.526,-38.315,180.000,-132.453,40.174,180.000,172.343,-73.296,-100.984,-156.941,-16.180,180.000,-104.791,22.457,180.000
-0.119,-0.207,0.087,-4.527,14.958,19.079,-0.313,1.927,-14.054,0.166,1.948,-14.072,11.679,24.865,18.083,176.659,-83.806,-138.179,-12.324,30.904,23.043,-28.438,11.940,4.240,76.991,32.287,-149.817,169.834,-40.930,164.692,1.983,-46.291,10.784,-138.809,-58.897,-50.595,-151.089,-37.227,180.000,-138.304,45.399,180.000,161.511,-69.552,-110.003,-159.935,-19.835,180.000,-113.302,28.468,180.000
-0.115,-0.225,0.086,-4.468,13.699,18.938,-0.808,1.773,-13.213,-0.379,1.917,-13.244,13.255,25.385,17.263,-37.052,52.835,-7.204,162.506,-67.844,161.206,-23.812,-43.627,-42.191,86.976,15.757,-155.490,176.697,-15.403,167.741,66.018,-76.202,-5.641,-136.373,-61.534,-48.460,-149.600,-32.406,180.000,-130.119,37.659,180.000,162.049,-69.717,-110.454,-157.938,-23.379,180.000,-102.957,4.854,180.000
-0.113,-0.241,0.069,-3.347,9.345,18.604,-3.033,1.603,-11.065,-2.660,2.185,-11.142,17.677,25.005,14.277,-7.049,63.418,-34.052,111.548,-47.620,106.261,-76.765,-49.563,-109.871,92.777,7.396,-162.263,-179.153,3.550,166.572,-3.516,-45.433,-123.853,-132.130,-65.502,-43.937,-149.691,-35.357,180.000,-128.910,37.343,180.000,168.386,-70.843,-105.735,-150.764,-23.431,180.000,-100.053,0.572,180.000
-0.112,-0.247,0.055,-2.990,7.533,19.096,-3.893,1.369,-9.593,-3.602,2.033,-9.669,18.794,25.249,12.175,22.808,67.236,-63.041,101.346,-23.035,94.489,-94.044,-60.775,-120.245,94.282,10.859,-164.590,176.490,-15.427,167.017,1.709,-57.267,-130.724,-137.151,-69.057,-49.466,-147.534,-41.908,180.000,-130.405,39.036,180.000,168.956,-72.234,-105.869,-147.926,-24.141,180.000,-96.143,0.232,180.000
-0.106,-0.266,0.036,-2.667,3.531,19.086,-5.079,1.620,-10.825,-4.668,2.604,-10.937,19.868,32.258,12.190,80.199,65.975,-115.174,79.496,4.215,90.781,-155.908,-10.222,-172.522,92.502,22.732,-164.493,-177.755,4.607,153.985,-25.219,18.714,-121.672,-132.125,-70.889,-44.566,-145.654,-43.834,180.000,-130.068,40.023,180.000,168.916,-75.639,-106.532,-146.832,-24.634,180.000,-96.114,-2.636,180.000
-0.119,-0.247,0.013,-1.974,-0.663,18.823,-6.083,1.703,-11.466,-5.601,2.956,-11.597,20.860,35.034,11.661,102.379,60.177,-135.575,81.096,6.526,91.020,-156.439,13.825,179.978,96.246,25.089,-160.244,-164.035,9.304,119.473,-61.471,7.640,-73.837,-129.197,-71.181,-40.784,-143.433,-53.638,180.000,-131.350,46.435,180.000,162.125,-79.847,-113.857,-146.452,-28.071,180.000,-98.976,-7.106,180.000
