Hips.Xposition,Hips.Yposition,Hips.Zposition,Hips.Zrotation,Hips.Xrotation,Hips.Yrotation,Spine.Zrotation,Spine.Xrotation,Spine.Yrotation,Chest.Zrotation,Chest.Xrotation,Chest.Yrotation,Head.Zrotation,Head.Xrotation,Head.Yrotation,LeftUpperArm.Zrotation,LeftUpperArm.Xrotation,LeftUpperArm.Yrotation,LeftLowerArm.Zrotation,LeftLowerArm.Xrotation,LeftLowerArm.Yrotation,LeftHand.Zrotation,LeftHand.Xrotation,LeftHand.Yrotation,RightUpperArm.Zrotation,RightUpperArm.Xrotation,RightUpperArm.Yrotation,RightLowerArm.Zrotation,RightLowerArm.Xrotation,RightLowerArm.Yrotation,RightHand.Zrotation,RightHand.Xrotation,RightHand.Yrotation,LeftUpperLeg.Zrotation,LeftUpperLeg.Xrotation,LeftUpperLeg.Yrotation,LeftLowerLeg.Zrotation,LeftLowerLeg.Xrotation,LeftLowerLeg.Yrotation,LeftFootAnkle.Zrotation,LeftFootAnkle.Xrotation,LeftFootAnkle.Yrotation,RightUpperLeg.Zrotation,RightUpperLeg.Xrotation,RightUpperLeg.Yrotation,RightLowerLeg.Zrotation,RightLowerLeg.Xrotation,RightLowerLeg.Yrotation,RightFootAnkle.Zrotation,RightFootAnkle.Xrotation,RightFootAnkle.Yrotation
0.265,-0.235,-0.041,0.261,-11.046,152.269,-3.215,-3.549,14.539,-2.173,-4.347,14.758,-7.966,-7.122,127.612,125.677,-31.482,-162.552,167.317,-4.386,108.770,44.579,27.135,-15.791,90.644,47.607,-174.762,-19.900,1.401,86.136,-176.005,-48.648,123.608,103.941,-35.486,-169.481,-167.987,-11.933,180.000,-98.818,-34.633,180.000,-102.966,-32.798,-16.875,-155.745,-21.110,180.000,-97.327,47.433,180.000
0.264,-0.232,-0.057,-0.757,-9.355,144.285,-3.221,-3.290,15.015,-2.218,-4.100,15.215,3.274,0.501,121.915,126.390,-27.534,-164.807,161.464,-8.284,113.255,16.203,-14.533,-25.988,86.312,51.999,-170.634,-8.503,-0.069,90.461,-112.501,-33.961,163.728,104.835,-32.158,-169.175,-169.467,-41.884,180.000,-96.982,-34.033,180.000,-103.742,-36.827,-19.823,-156.194,-18.377,180.000,-90.054,48.902,180.000
0.267,-0.230,-0.062,-1.896,-9.220,139.772,-3.595,-2.981,15.620,-2.622,-3.919,15.813,5.754,1.219,123.899,126.224,-25.371,-163.885,156.248,-11.946,115.191,10.395,-20.457,-32.815,83.336,51.459,-167.305,5.440,0.627,96.551,-97.013,-29.683,-177.675,107.031,-32.918,-167.519,-169.557,-47.008,180.000,-92.647,-31.173,180.000,-105.868,-41.399,-23.748,-156.708,-18.081,180.000,-87.489,49.790,180.000
0.256,-0.235,-0.097,-3.507,-9.555,133.838,-4.004,-2.083,13.720,-3.375,-3.028,13.851,14.570,4.315,126.873,125.192,-19.538,-166.059,161.662,-10.040,117.743,7.485,-24.611,-34.057,77.608,54.842,-161.708,19.834,5.051,103.717,-98.127,-16.427,-158.233,106.370,-39.494,-167.847,-169.415,-46.854,180.000,-93.896,-28.584,180.000,-112.743,-50.178,-29.150,-156.050,-16.970,180.000,-86.564,49.399,180.000
0.258,-0.241,-0.104,-5.790,-11.337,130.754,-4.486,-0.892,10.027,-4.257,-1.679,10.070,19.758,6.900,135.635,123.542,-6.830,-166.904,163.607,-8.968,117.918,2.531,-29.413,-31.500,74.224,46.314,-155.334,-4.847,-0.726,98.499,-122.442,-9.927,-176.737,123.095,-66.208,-149.856,-168.965,-14.322,180.000,-94.702,-25.379,180.000,-124.762,-58.621,-36.848,-155.542,-28.153,180.000,-88.863,44.704,180.000
0.243,-0.240,-0.145,-4.767,-9.603,127.514,-5.114,-0.707,10.217,-4.904,-1.619,10.243,28.346,12.770,133.233,121.316,-5.790,-172.227,169.931,-6.183,121.241,4.561,-22.586,-15.475,79.915,42.774,-159.901,-13.690,-1.086,94.448,-133.976,-6.537,-164.969,-161.951,-79.545,-74.183,-163.865,0.506,180.000,-89.449,-20.846,180.000,-122.687,-57.927,-31.710,-153.638,-26.119,180.000,-90.755,43.581,180.000
0.214,-0.236,-0.179,-2.801,-7.594,124.288,-4.650,-0.802,8.535,-4.476,-1.502,8.575,28.638,20.054,136.784,121.153,-17.582,-175.894,-174.262,5.738,134.857,4.018,-11.613,-8.744,85.206,48.387,-166.947,-25.454,2.128,85.540,-131.479,-1.039,-159.553,-116.791,-70.195,-28.077,-159.800,15.369,180.000,-92.051,-21.732,180.000,-125.738,-60.001,-35.518,-151.150,-25.902,180.000,-91.261,39.980,180.000
0.137,-0.237,-0.185,-2.400,-6.285,118.191,-3.829,-0.516,5.479,-3.761,-0.889,5.502,19.084,20.851,148.215,115.374,-23.710,177.944,-158.861,25.144,137.698,12.499,-0.870,1.243,84.584,60.234,-177.212,-49.883,37.009,63.107,-164.668,8.028,174.279,-110.027,-59.983,-20.748,-154.514,27.733,180.000,-99.194,-19.935,180.000,-121.493,-55.320,-35.595,-149.549,-21.527,180.000,-89.849,44.393,180.000
0.055,-0.255,-0.174,-7.788,-6.904,102.408,-4.809,-0.181,2.044,-4.799,-0.357,2.052,8.637,-0.181,168.733,114.223,-7.768,-171.394,-170.264,22.388,155.750,20.406,11.866,5.386,51.496,67.966,-138.634,-38.521,34.780,54.375,-176.560,-22.748,-174.137,-133.283,-62.646,-42.025,-143.555,45.255,180.000,-108.658,-15.972,180.000,-140.050,-53.372,-53.520,-143.469,-15.412,180.000,-89.215,44.376,180.000
0.011,-0.255,-0.158,-9.289,-6.589,96.724,-4.804,0.083,-0.819,-4.802,0.154,-0.823,8.923,-1.447,175.072,118.120,-10.379,-172.082,-155.926,44.980,147.704,21.417,6.749,5.485,81.940,31.928,-166.714,-9.283,13.743,34.527,153.940,1.084,-163.555,-122.384,-59.583,-33.712,-148.255,41.228,180.000,-109.815,-15.786,180.000,-150.885,-54.210,-65.665,-141.568,-17.627,180.000,-93.344,43.611,180.000
-0.020,-0.266,-0.142,-10.108,-6.469,91.750,-4.448,0.100,-1.527,-4.443,0.221,-1.530,8.571,4.463,177.699,118.693,-23.840,-175.782,-139.052,54.867,133.305,24.784,-6.005,-5.043,86.119,12.893,-169.492,-2.296,3.213,35.583,137.943,14.156,-162.687,-139.165,-64.711,-49.520,-145.762,35.282,180.000,-103.565,-14.857,180.000,-154.070,-55.566,-68.304,-139.851,-14.750,180.000,-88.448,42.481,180.000
-0.066,-0.267,-0.131,-10.350,-5.257,84.006,-4.733,0.177,-2.960,-4.717,0.424,-2.964,5.821,13.079,-175.257,118.897,-9.341,-176.049,-152.964,40.443,141.809,15.154,-2.247,-0.125,83.191,14.295,-166.731,-2.757,4.642,30.753,147.215,11.734,-171.549,-153.855,-64.641,-64.623,-145.310,31.372,180.000,-103.908,-13.212,180.000,-162.385,-58.579,-76.789,-135.077,-10.939,180.000,-85.262,43.462,180.000
-0.085,-0.263,-0.127,-12.562,-3.990,76.015,-4.489,0.663,-5.243,-4.407,1.089,-5.280,1.583,13.401,-165.476,116.912,-14.647,-178.014,-124.639,64.051,121.849,8.997,12.460,3.268,82.647,31.733,-161.353,-4.175,6.929,31.177,160.592,9.358,-156.740,-169.353,-62.753,-79.954,-139.130,24.293,180.000,-107.375,-7.556,180.000,-170.179,-53.225,-83.957,-122.872,-15.125,180.000,-92.351,45.878,180.000
