path,creation_method,stem,frames,complexity_per_frame,net_complexity
study2\pajamaparty-tutorial,mw-decreasing_by_half_lmw-dempster_ignorevisibility_excludebase,pajamaparty-tutorial,419,0.2356670720936574,98.74450320724247
other\colddance,mw-decreasing_by_quarter_lmw-balanced_ignorevisibility_excludebase,colddance,311,0.2378888970016137,73.98344696750186
other\debbieallenchallenge,mw-decreasing_by_quarter_lmw-balanced_ignorevisibility_excludebase,debbieallenchallenge,792,0.3259531278814818,258.1548772821336
other\getup,mw-decreasing_by_quarter_lmw-balanced_ignorevisibility_excludebase,getup,455,0.2920253122670859,132.87151708152408
other\itsafit,mw-decreasing_by_quarter_lmw-balanced_ignorevisibility_excludebase,itsafit,327,0.1431848611822521,46.821449606596445
other\renegade,mw-decreasing_by_quarter_lmw-balanced_ignorevisibility_excludebase,renegade,367,0.2348831198993884,86.20210500307556
other\sayso,mw-decreasing_by_quarter_lmw-balanced_ignorevisibility_excludebase,sayso,1661,0.3127829266226389,519.5324411202032
other\unhhunh,mw-decreasing_by_quarter_lmw-balanced_ignorevisibility_excludebase,unhhunh,578,0.3519887621937258,203.4495045479736
other\welcome-to-my-world,mw-decreasing_by_quarter_lmw-balanced_ignorevisibility_excludebase,welcome-to-my-world,430,0.4440951072196334,190.9608961044424
study2\bartender,mw-decreasing_by_quarter_lmw-balanced_ignorevisibility_excludebase,bartender,449,0.2035423550920781,91.39051743634307
study2\last-christmas-tutorial,mw-decreasing_by_quarter_lmw-balanced_ignorevisibility_excludebase,last-christmas-tutorial,452,0.1674583651511113,75.69118104830231
study2\mad-at-disney-tutorial,mw-decreasing_by_quarter_lmw-balanced_ignorevisibility_excludebase,mad-at-disney-tutorial,544,0.2342038366409305,127.4068871326662
study2\pajamaparty-tutorial,mw-decreasing_by_quarter_lmw-balanced_ignorevisibility_excludebase,pajamaparty-tutorial,419,0.2299634388249742,96.3546808676642
other\colddance,mw-decreasing_by_quarter_lmw-dempster_ignorevisibility_excludebase,colddance,311,0.2279166929726606,70.88209151449746
other\debbieallenchallenge,mw-decreasing_by_quarter_lmw-dempster_ignorevisibility_excludebase,debbieallenchallenge,792,0.3071706684911542,243.27916944499407
other\getup,mw-decreasing_by_quarter_lmw-dempster_ignorevisibility_excludebase,getup,455,0.2779499179621296,126.46721267276898
other\itsafit,mw-decreasing_by_quarter_lmw-dempster_ignorevisibility_excludebase,itsafit,327,0.1337198420307301,43.72638834404874
other\renegade,mw-decreasing_by_quarter_lmw-dempster_ignorevisibility_excludebase,renegade,367,0.2208395378479472,81.04811039019663
other\sayso,mw-decreasing_by_quarter_lmw-dempster_ignorevisibility_excludebase,sayso,1661,0.2990030890089298,496.6441308438324
other\unhhunh,mw-decreasing_by_quarter_lmw-dempster_ignorevisibility_excludebase,unhhunh,578,0.331842706748721,191.8050845007608
other\welcome-to-my-world,mw-decreasing_by_quarter_lmw-dempster_ignorevisibility_excludebase,welcome-to-my-world,430,0.4225431890477769,181.69357129054407
study2\bartender,mw-decreasing_by_quarter_lmw-dempster_ignorevisibility_excludebase,bartender,449,0.1926854517649892,86.51576784248014
study2\last-christmas-tutorial,mw-decreasing_by_quarter_lmw-dempster_ignorevisibility_excludebase,last-christmas-tutorial,452,0.1565301277183847,70.75161772870989
